sender,receiver,edge_type
JointMath,monsoon0,retweet
JointMath,VictorPiercey1,retweet
JointMath,pwr2dppl,retweet
JointMath,mathyadriana,retweet
JointMath,mathprofcarrie,retweet
JointMath,sbagley,retweet
JointMath,mathprofcarrie,retweet
JointMath,sbagley,retweet
JointMath,sbagley,retweet
JointMath,ClaudioJacobo,retweet
JointMath,sbagley,retweet
JointMath,DrMRLD,retweet
JointMath,qsideinstitute,mention
JointMath,JointMath,mention
JointMath,mathprofcarrie,mention
JointMath,jmm2021,mention
JointMath,MarissaKawehi,mention
JointMath,mathyadriana,mention
JointMath,monsoon0,mention
JointMath,thewordninja_bk,mention
JointMath,pwr2dppl,mention
JointMath,fra_berni,mention
JointMath,monsoon0,mention
JointMath,JointMath,mention
JointMath,frontLahn,mention
JointMath,mathprofcarrie,mention
JointMath,LoboWithACause,mention
JointMath,WanderingPoint,mention
JointMath,sbagley,mention
JointMath,WanderingPoint,mention
JointMath,mathyadriana,mention
JointMath,katebelin,mention
JointMath,RG1gal,mention
JointMath,FedericoArdila,mention
JointMath,sbagley,mention
JointMath,VictorPiercey1,mention
JointMath,ArisWinger,mention
JointMath,maanow,mention
JointMath,pwr2dppl,mention
JointMath,HthrLynnJ,mention
JointMath,LoboWithACause,mention
JointMath,monsoon0,mention
JointMath,mathprofcarrie,mention
JointMath,MBarany,mention
JointMath,dtkung,mention
JointMath,pwr2dppl,mention
JointMath,LoboWithACause,mention
JointMath,sbagley,mention
JointMath,JointMath,mention
JointMath,RachelleDeCoste,mention
JointMath,LoboWithACause,mention
JointMath,joshlaison,mention
JointMath,mathprofcarrie,mention
JointMath,monsoon0,mention
JointMath,dtkung,mention
JointMath,monsoon0,mention
JointMath,mathprofcarrie,mention
JointMath,sbagley,mention
JointMath,ClaudioJacobo,mention
JointMath,mathprofcarrie,mention
JointMath,pwr2dppl,mention
JointMath,WanderingPoint,mention
JointMath,MBarany,mention
JointMath,fra_berni,mention
JointMath,LoboWithACause,mention
JointMath,pwr2dppl,mention
JointMath,mathprofcarrie,mention
JointMath,sbagley,mention
JointMath,AliciaPL25,mention
JointMath,FedericoArdila,mention
JointMath,mathyadriana,mention
JointMath,LoboWithACause,mention
JointMath,CKalinecCraig,mention
JointMath,mathyadriana,mention
JointMath,diazlopezmath,mention
JointMath,mathprofcarrie,mention
JointMath,xl772,mention
JointMath,pwr2dppl,mention
JointMath,LoboWithACause,mention
JointMath,WanderingPoint,mention
JointMath,RachelleDeCoste,mention
JointMath,LoboWithACause,mention
JointMath,UNMLoboMBB,mention
JointMath,Shelby_M_Scott,mention
JointMath,Shelby_M_Scott,mention
JointMath,qubeshub,mention
JointMath,mathprofcarrie,mention
JointMath,sbagley,mention
JointMath,JointMath,mention
JointMath,mathyadriana,mention
JointMath,LoboWithACause,mention
JointMath,KristinePelatt,mention
JointMath,pwr2dppl,mention
JointMath,darrenglass,mention
JointMath,mathprofcarrie,mention
JointMath,LoboWithACause,mention
JointMath,monsoon0,mention
JointMath,LoboWithACause,mention
JointMath,pwr2dppl,mention
JointMath,sbagley,mention
JointMath,sbagley,mention
JointMath,thewordninja_bk,mention
JointMath,JointMath,mention
JointMath,susan_dagostino,mention
JointMath,Morehouse,mention
JointMath,RachelleDeCoste,mention
JointMath,sbagley,mention
JointMath,sbagley,mention
JointMath,nancyekress,mention
JointMath,mathprofcarrie,mention
JointMath,mathyadriana,mention
JointMath,thewordninja_bk,mention
JointMath,pwr2dppl,mention
JointMath,JointMath,mention
JointMath,LoboWithACause,mention
JointMath,blkmathmagic,mention
JointMath,mathprofcarrie,mention
JointMath,mathprofcarrie,mention
JointMath,MarissaKawehi,mention
JointMath,mathprofcarrie,mention
JointMath,LoboWithACause,mention
JointMath,elizabethmunch,mention
JointMath,JointMath,mention
JointMath,monsoon0,mention
JointMath,pwr2dppl,mention
JointMath,swirlgirl31415,mention
JointMath,dtkung,mention
JointMath,maanow,mention
JointMath,sbagley,mention
JointMath,sbagley,mention
JointMath,WanderingPoint,mention
JointMath,FedericoArdila,mention
JointMath,JointMath,mention
JointMath,mayli,mention
JointMath,duanecoop,mention
JointMath,priyam886,mention
JointMath,HaydeeLindo,mention
JointMath,ErikaTCamacho,mention
JointMath,mayli,mention
JointMath,mathprofcarrie,mention
JointMath,mathyadriana,mention
JointMath,HthrLynnJ,mention
JointMath,LoboWithACause,mention
JointMath,DingleTeach,mention
JointMath,mathprofcarrie,mention
JointMath,mathprofcarrie,mention
JointMath,mathprofcarrie,mention
JointMath,fra_berni,mention
JointMath,PamHarris1128,mention
JointMath,sbagley,mention
JointMath,mathprofcarrie,mention
JointMath,monsoon0,mention
JointMath,VictorPiercey1,mention
JointMath,kenandoesmath,mention
JointMath,pwr2dppl,mention
JointMath,LoboWithACause,mention
JointMath,mathyadriana,mention
JointMath,mathprofcarrie,mention
JointMath,LoboWithACause,mention
JointMath,mathprofcarrie,mention
JointMath,sbagley,mention
JointMath,nancyekress,mention
JointMath,JointMath,mention
JointMath,mathprofcarrie,mention
JointMath,sbagley,mention
JointMath,JointMath,mention
JointMath,sbagley,mention
JointMath,kenandoesmath,mention
JointMath,ClaudioJacobo,mention
JointMath,sbagley,mention
JointMath,DrMRLD,mention
JointMath,xanderfaber,mention
JookieTookie,RG1gal,retweet
JookieTookie,RG1gal,mention
joshlaison,sbagley,reply
joshlaison,mathyadriana,retweet
joshlaison,sbagley,retweet
joshlaison,mathyadriana,mention
joshlaison,LoboWithACause,mention
joshlaison,sbagley,mention
joshlaison,JointMath,mention
joshlaison,sbagley,mention
joshlaison,WanderingPoint,mention
joshuagrochow,WanderingPoint,retweet
joshuagrochow,WanderingPoint,mention
joshuazucker,benjamindickman,reply
joshuazucker,benjamindickman,mention
joshuazucker,blkmathmagic,mention
jrlookingbill,mathprofcarrie,retweet
jrlookingbill,mathprofcarrie,mention
jrlookingbill,jmm2021,mention
JustJules2,sbagley,retweet
JustJules2,sbagley,retweet
JustJules2,sbagley,mention
JustJules2,thewordninja_bk,mention
JustJules2,JointMath,mention
JustJules2,sbagley,mention
JustJules2,JointMath,mention
KamerynJW,WanderingPoint,retweet
KamerynJW,WanderingPoint,mention
karikokka,RG1gal,retweet
karikokka,RG1gal,mention
karin_leiderman,mathprofcarrie,retweet
karin_leiderman,mathprofcarrie,mention
karin_leiderman,jmm2021,mention
katebelin,RG1gal,mention
katebelin,FedericoArdila,mention
katebelin,ArisWinger,mention
katemath,sbagley,retweet
katemath,DrMRLD,retweet
katemath,WanderingPoint,retweet
katemath,sbagley,mention
katemath,DrMRLD,mention
katemath,washcoll,mention
katemath,WanderingPoint,mention
kay314159,pwr2dppl,retweet
kay314159,mathprofcarrie,retweet
kay314159,WanderingPoint,retweet
kay314159,pwr2dppl,mention
kay314159,mathprofcarrie,mention
kay314159,jmm2021,mention
kay314159,WanderingPoint,mention
kellyyyruth,mathprofcarrie,retweet
kellyyyruth,mathprofcarrie,mention
kellyyyruth,jmm2021,mention
kim_yoak,mathprofcarrie,retweet
kim_yoak,mathprofcarrie,mention
kim_yoak,jmm2021,mention
KJMDPhD,LoboWithACause,retweet
KJMDPhD,WanderingPoint,quote-tweet
KJMDPhD,LoboWithACause,mention
kmkinnaird,pwr2dppl,retweet
kmkinnaird,mathprofcarrie,retweet
kmkinnaird,MattBoelkins,retweet
kmkinnaird,WanderingPoint,retweet
kmkinnaird,MattBoelkins,retweet
kmkinnaird,qsideinstitute,retweet
kmkinnaird,WanderingPoint,retweet
kmkinnaird,sbagley,retweet
kmkinnaird,matthematician,retweet
kmkinnaird,sbagley,retweet
kmkinnaird,sbagley,retweet
kmkinnaird,DrMRLD,retweet
kmkinnaird,MBarany,retweet
kmkinnaird,sbagley,retweet
kmkinnaird,sbagley,retweet
kmkinnaird,VictorPiercey1,retweet
kmkinnaird,JSEllenberg,quote-tweet
kmkinnaird,pwr2dppl,mention
kmkinnaird,mathprofcarrie,mention
kmkinnaird,MattBoelkins,mention
kmkinnaird,thewordninja_bk,mention
kmkinnaird,WanderingPoint,mention
kmkinnaird,MattBoelkins,mention
kmkinnaird,thewordninja_bk,mention
kmkinnaird,qsideinstitute,mention
kmkinnaird,JointMath,mention
kmkinnaird,WanderingPoint,mention
kmkinnaird,sbagley,mention
kmkinnaird,nancyekress,mention
kmkinnaird,JointMath,mention
kmkinnaird,matthematician,mention
kmkinnaird,sbagley,mention
kmkinnaird,sbagley,mention
kmkinnaird,WanderingPoint,mention
kmkinnaird,DrMRLD,mention
kmkinnaird,MBarany,mention
kmkinnaird,sbagley,mention
kmkinnaird,sbagley,mention
kmkinnaird,VictorPiercey1,mention
kneppkatt,MarissaKawehi,reply
kneppkatt,MarissaKawehi,retweet
kneppkatt,MarissaKawehi,mention
kneppkatt,MarissaKawehi,mention
KristinePelatt,WanderingPoint,quote-tweet
KristinLauter,WanderingPoint,retweet
KristinLauter,WanderingPoint,mention
KristinLauter,mathyadriana,mention
Laelia_Ve,arretsurimages,mention
LauraVHawkins,siwelwerd,retweet
LauraVHawkins,benjamindickman,retweet
LauraVHawkins,siwelwerd,mention
LauraVHawkins,benjamindickman,mention
libbyk_,MarissaKawehi,retweet
libbyk_,MarissaKawehi,mention
LisaSkultety,WanderingPoint,retweet
LisaSkultety,WanderingPoint,mention
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,pwr2dppl,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,LoboWithACause,reply
LoboWithACause,mathprofcarrie,retweet
LoboWithACause,pwr2dppl,retweet
LoboWithACause,MattBoelkins,retweet
LoboWithACause,VictorPiercey1,retweet
LoboWithACause,sbagley,retweet
LoboWithACause,WanderingPoint,retweet
LoboWithACause,blkmathmagic,retweet
LoboWithACause,belladoesmath,retweet
LoboWithACause,sbagley,retweet
LoboWithACause,pwr2dppl,retweet
LoboWithACause,mathprofcarrie,retweet
LoboWithACause,pwr2dppl,retweet
LoboWithACause,VictorPiercey1,retweet
LoboWithACause,RG1gal,retweet
LoboWithACause,sbagley,retweet
LoboWithACause,frontLahn,retweet
LoboWithACause,VictorPiercey1,retweet
LoboWithACause,matthematician,retweet
LoboWithACause,ClaudioJacobo,retweet
LoboWithACause,mathillustrated,retweet
LoboWithACause,DrMRLD,retweet
LoboWithACause,mathprofcarrie,retweet
LoboWithACause,belladoesmath,retweet
LoboWithACause,MarissaKawehi,retweet
LoboWithACause,evainfeld,retweet
LoboWithACause,ClaudioJacobo,retweet
LoboWithACause,VictorPiercey1,retweet
LoboWithACause,VictorPiercey1,retweet
LoboWithACause,mathprofcarrie,retweet
LoboWithACause,pwr2dppl,retweet
LoboWithACause,KJMDPhD,retweet
LoboWithACause,WanderingPoint,retweet
LoboWithACause,xl772,quote-tweet
LoboWithACause,mathprofcarrie,quote-tweet
LoboWithACause,MarissaKawehi,quote-tweet
LoboWithACause,loumatthewslive,quote-tweet
LoboWithACause,DrBrandyMath,quote-tweet
LoboWithACause,LoboWithACause,quote-tweet
LoboWithACause,mathprofcarrie,quote-tweet
LoboWithACause,pwr2dppl,quote-tweet
LoboWithACause,amermathsoc,quote-tweet
LoboWithACause,blkmathmagic,quote-tweet
LoboWithACause,WanderingPoint,quote-tweet
LoboWithACause,itatiVCS,quote-tweet
LoboWithACause,mathprofcarrie,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,SoledadVillar5,mention
LoboWithACause,mathyadriana,mention
LoboWithACause,diazlopezmath,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,xl772,mention
LoboWithACause,LoboWithACause,mention
LoboWithACause,WanderingPoint,mention
LoboWithACause,RachelleDeCoste,mention
LoboWithACause,MattBoelkins,mention
LoboWithACause,thewordninja_bk,mention
LoboWithACause,VictorPiercey1,mention
LoboWithACause,sbagley,mention
LoboWithACause,WanderingPoint,mention
LoboWithACause,blkmathmagic,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,sbagley,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,jmm2021,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,VictorPiercey1,mention
LoboWithACause,ArisWinger,mention
LoboWithACause,maanow,mention
LoboWithACause,RG1gal,mention
LoboWithACause,sbagley,mention
LoboWithACause,kenandoesmath,mention
LoboWithACause,frontLahn,mention
LoboWithACause,VictorPiercey1,mention
LoboWithACause,kenandoesmath,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,matthematician,mention
LoboWithACause,ClaudioJacobo,mention
LoboWithACause,mathillustrated,mention
LoboWithACause,DrMRLD,mention
LoboWithACause,NMPinonCoffee,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,MarissaKawehi,mention
LoboWithACause,blkmathmagic,mention
LoboWithACause,xl772,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,FedericoArdila,mention
LoboWithACause,priyam886,mention
LoboWithACause,UNMLoboMBB,mention
LoboWithACause,MarissaKawehi,mention
LoboWithACause,evainfeld,mention
LoboWithACause,ClaudioJacobo,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,VictorPiercey1,mention
LoboWithACause,VictorPiercey1,mention
LoboWithACause,mathprofcarrie,mention
LoboWithACause,pwr2dppl,mention
LoboWithACause,xl772,mention
LoboWithACause,ash_wee_k,mention
LoboWithACause,KyJmd,mention
LoboWithACause,WanderingPoint,mention
logicians,LoboWithACause,retweet
logicians,KJMDPhD,retweet
logicians,mathillustrated,retweet
logicians,WanderingPoint,retweet
logicians,LoboWithACause,mention
logicians,KyJmd,mention
logicians,mathillustrated,mention
logicians,WanderingPoint,mention
LogPhilosophica,WanderingPoint,retweet
LogPhilosophica,WanderingPoint,mention
loumatthewslive,benjamindickman,retweet
loumatthewslive,benjamindickman,mention
MaggitaCampos,joshlaison,retweet
MaggitaCampos,joshlaison,mention
mahrudsay,pwr2dppl,retweet
mahrudsay,pwr2dppl,mention
mahrudsay,amermathsoc,mention
malagonmath,mathprofcarrie,retweet
malagonmath,mathprofcarrie,mention
MaliciousNoise,WanderingPoint,retweet
MaliciousNoise,WanderingPoint,mention
MaraStone2016,mathprofcarrie,retweet
MaraStone2016,mathprofcarrie,mention
MaraStone2016,jmm2021,mention
mariss_spear7,monsoon0,retweet
mariss_spear7,monsoon0,mention
MarissaKawehi,blkmathmagic,reply
MarissaKawehi,pwr2dppl,reply
MarissaKawehi,priyam886,reply
MarissaKawehi,matthematician,retweet
MarissaKawehi,WanderingPoint,retweet
MarissaKawehi,frontLahn,retweet
MarissaKawehi,pwr2dppl,retweet
MarissaKawehi,RG1gal,retweet
MarissaKawehi,pwr2dppl,retweet
MarissaKawehi,mathprofcarrie,retweet
MarissaKawehi,mathcourtney,retweet
MarissaKawehi,fra_berni,retweet
MarissaKawehi,WanderingPoint,quote-tweet
MarissaKawehi,WanderingPoint,quote-tweet
MarissaKawehi,jacksonfulton2,quote-tweet
MarissaKawehi,ash_wee_k,quote-tweet
MarissaKawehi,matthematician,mention
MarissaKawehi,WanderingPoint,mention
MarissaKawehi,frontLahn,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,blkmathmagic,mention
MarissaKawehi,RG1gal,mention
MarissaKawehi,mathyadriana,mention
MarissaKawehi,monsoon0,mention
MarissaKawehi,thewordninja_bk,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,fra_berni,mention
MarissaKawehi,LoboWithACause,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,mathprofcarrie,mention
MarissaKawehi,jmm2021,mention
MarissaKawehi,mathcourtney,mention
MarissaKawehi,HZinnbrooks,mention
MarissaKawehi,fra_berni,mention
MarissaKawehi,PamHarris1128,mention
MarissaKawehi,blkmathmagic,mention
MarissaKawehi,blkmathmagic,mention
MarissaKawehi,priyam886,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,LoboWithACause,mention
MarissaKawehi,xl772,mention
MarissaKawehi,mathprofcarrie,mention
MarissaKawehi,FedericoArdila,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,LoboWithACause,mention
MarissaKawehi,blkmathmagic,mention
MarissaKawehi,xl772,mention
MarissaKawehi,mathprofcarrie,mention
MarissaKawehi,FedericoArdila,mention
MarissaKawehi,priyam886,mention
MarissaKawehi,priyam886,mention
MarissaKawehi,pwr2dppl,mention
MarissaKawehi,LoboWithACause,mention
MarissaKawehi,blkmathmagic,mention
MarissaKawehi,xl772,mention
MarissaKawehi,mathprofcarrie,mention
MarissaKawehi,FedericoArdila,mention
Marki_MD,WanderingPoint,retweet
Marki_MD,WanderingPoint,mention
maryepilgrim,mathprofcarrie,reply
maryepilgrim,mathprofcarrie,reply
maryepilgrim,sbagley,reply
maryepilgrim,VictorPiercey1,reply
maryepilgrim,sbagley,reply
maryepilgrim,mathprofcarrie,retweet
maryepilgrim,sbagley,retweet
maryepilgrim,sbagley,retweet
maryepilgrim,VictorPiercey1,retweet
maryepilgrim,qsideinstitute,retweet
maryepilgrim,mathprofcarrie,retweet
maryepilgrim,mathyadriana,retweet
maryepilgrim,mathprofcarrie,mention
maryepilgrim,VictorPiercey1,mention
maryepilgrim,sbagley,mention
maryepilgrim,thewordninja_bk,mention
maryepilgrim,mathprofcarrie,mention
maryepilgrim,sbagley,mention
maryepilgrim,kenandoesmath,mention
maryepilgrim,sbagley,mention
maryepilgrim,VictorPiercey1,mention
maryepilgrim,qsideinstitute,mention
maryepilgrim,JointMath,mention
maryepilgrim,mathprofcarrie,mention
maryepilgrim,mathyadriana,mention
maryepilgrim,LoboWithACause,mention
maryepilgrim,mathprofcarrie,mention
maryepilgrim,VictorPiercey1,mention
maryepilgrim,sbagley,mention
maryepilgrim,thewordninja_bk,mention
maryepilgrim,sbagley,mention
maryepilgrim,VictorPiercey1,mention
maryepilgrim,sbagley,mention
MathAndCobb,GoodsiePhD,retweet
MathAndCobb,GoodsiePhD,mention
MathAndCobb,jmm2021,mention
mathcourtney,mathprofcarrie,retweet
mathcourtney,mathprofcarrie,mention
mathcourtney,HZinnbrooks,mention
MathDeptUTK,mathprofcarrie,retweet
MathDeptUTK,mathprofcarrie,mention
MathDeptUTK,jmm2021,mention
mathdr91,pwr2dppl,retweet
mathdr91,pwr2dppl,mention
mathemactivist,pwr2dppl,retweet
mathemactivist,pwr2dppl,mention
mathematigal,ClaudioJacobo,retweet
mathematigal,ClaudioJacobo,mention
mathhombre,dtkung,retweet
mathhombre,dtkung,mention
mathillustrated,blviray,retweet
mathillustrated,mathprofcarrie,retweet
mathillustrated,sbagley,retweet
mathillustrated,ClaudioJacobo,retweet
mathillustrated,WanderingPoint,retweet
mathillustrated,matthematician,retweet
mathillustrated,VictorPiercey1,retweet
mathillustrated,mathprofcarrie,retweet
mathillustrated,sbagley,retweet
mathillustrated,NCTM,quote-tweet
mathillustrated,robertqberry,quote-tweet
mathillustrated,pwr2dppl,quote-tweet
mathillustrated,blviray,mention
mathillustrated,pwr2dppl,mention
mathillustrated,WanderingPoint,mention
mathillustrated,mathprofcarrie,mention
mathillustrated,jmm2021,mention
mathillustrated,sbagley,mention
mathillustrated,JointMath,mention
mathillustrated,timchartier,mention
mathillustrated,swirlgirl31415,mention
mathillustrated,pwr2dppl,mention
mathillustrated,thewordninja_bk,mention
mathillustrated,mathyawp,mention
mathillustrated,AmstatNews,mention
mathillustrated,maanow,mention
mathillustrated,amermathsoc,mention
mathillustrated,ClaudioJacobo,mention
mathillustrated,mathprofcarrie,mention
mathillustrated,WanderingPoint,mention
mathillustrated,matthematician,mention
mathillustrated,VictorPiercey1,mention
mathillustrated,mathprofcarrie,mention
mathillustrated,BikeMath,mention
mathillustrated,pwr2dppl,mention
mathillustrated,thewordninja_bk,mention
mathillustrated,sbagley,mention
mathillustrated,nancyekress,mention
MathmoClaire,WanderingPoint,retweet
MathmoClaire,WanderingPoint,mention
mathmodeling,katebelin,retweet
mathmodeling,mathprofcarrie,retweet
mathmodeling,katebelin,mention
mathmodeling,RG1gal,mention
mathmodeling,FedericoArdila,mention
mathmodeling,mathprofcarrie,mention
mathprofcarrie,vanessaarceliaa,reply
mathprofcarrie,KristinePelatt,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,fra_berni,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,mathyadriana,reply
mathprofcarrie,MitchKeller,reply
mathprofcarrie,RG1gal,reply
mathprofcarrie,maryepilgrim,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,MarissaKawehi,reply
mathprofcarrie,blviray,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,complainerstore,reply
mathprofcarrie,xl772,reply
mathprofcarrie,VictorPiercey1,reply
mathprofcarrie,ArcheyDawn,reply
mathprofcarrie,WanderingPoint,reply
mathprofcarrie,pwr2dppl,reply
mathprofcarrie,pwr2dppl,reply
mathprofcarrie,BikeMath,reply
mathprofcarrie,sophgermain,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,monsoon0,reply
mathprofcarrie,maryepilgrim,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,pwr2dppl,reply
mathprofcarrie,VictorPiercey1,reply
mathprofcarrie,mathprofcarrie,reply
mathprofcarrie,Sam71244027,reply
mathprofcarrie,blviray,retweet
mathprofcarrie,kneppkatt,retweet
mathprofcarrie,WanderingPoint,retweet
mathprofcarrie,diazlopezmath,retweet
mathprofcarrie,matthematician,retweet
mathprofcarrie,monsoon0,retweet
mathprofcarrie,matthematician,retweet
mathprofcarrie,xl772,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,BresockCalculus,retweet
mathprofcarrie,KJMDPhD,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,Shelby_M_Scott,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,FedericoArdila,retweet
mathprofcarrie,monsoon0,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,mathyadriana,retweet
mathprofcarrie,susan_dagostino,retweet
mathprofcarrie,katebelin,retweet
mathprofcarrie,HthrLynnJ,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,MarissaKawehi,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,RachelleDeCoste,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,RG1gal,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,thewordninja_bk,retweet
mathprofcarrie,WanderingPoint,retweet
mathprofcarrie,virtualcourtney,retweet
mathprofcarrie,LoboWithACause,retweet
mathprofcarrie,fra_berni,retweet
mathprofcarrie,DrMRLD,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,blkmathmagic,retweet
mathprofcarrie,saracharala,retweet
mathprofcarrie,mathyadriana,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,belladoesmath,retweet
mathprofcarrie,DrMRLD,retweet
mathprofcarrie,DrHenryGarrett,retweet
mathprofcarrie,benjamindickman,retweet
mathprofcarrie,MarissaKawehi,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,fra_berni,retweet
mathprofcarrie,belladoesmath,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,VictorPiercey1,retweet
mathprofcarrie,monsoon0,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,ClaudioJacobo,retweet
mathprofcarrie,MBarany,retweet
mathprofcarrie,jensilvermath,retweet
mathprofcarrie,HthrLynnJ,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,fra_berni,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,pwr2dppl,retweet
mathprofcarrie,frontLahn,retweet
mathprofcarrie,VictorPiercey1,retweet
mathprofcarrie,MattBoelkins,retweet
mathprofcarrie,blkmathmagic,retweet
mathprofcarrie,mathprofcarrie,retweet
mathprofcarrie,mathillustrated,retweet
mathprofcarrie,CKalinecCraig,retweet
mathprofcarrie,mathillustrated,retweet
mathprofcarrie,mathyadriana,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,WanderingPoint,retweet
mathprofcarrie,darrenglass,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,siwelwerd,retweet
mathprofcarrie,sbagley,retweet
mathprofcarrie,AliciaPL25,quote-tweet
mathprofcarrie,mathprofcarrie,quote-tweet
mathprofcarrie,evainfeld,quote-tweet
mathprofcarrie,HirokiSayama,quote-tweet
mathprofcarrie,RachelleDeCoste,quote-tweet
mathprofcarrie,sbagley,quote-tweet
mathprofcarrie,blviray,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,WanderingPoint,mention
mathprofcarrie,kneppkatt,mention
mathprofcarrie,MarissaKawehi,mention
mathprofcarrie,WanderingPoint,mention
mathprofcarrie,diazlopezmath,mention
mathprofcarrie,matthematician,mention
mathprofcarrie,monsoon0,mention
mathprofcarrie,matthematician,mention
mathprofcarrie,vanessaarceliaa,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,xl772,mention
mathprofcarrie,KristinePelatt,mention
mathprofcarrie,fra_berni,mention
mathprofcarrie,WanderingPoint,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,FedericoArdila,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,ClaudioJacobo,mention
mathprofcarrie,blkmathmagic,mention
mathprofcarrie,xl772,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,BresockCalculus,mention
mathprofcarrie,KyJmd,mention
mathprofcarrie,sbagley,mention
mathprofcarrie,Shelby_M_Scott,mention
mathprofcarrie,sbagley,mention
mathprofcarrie,JointMath,mention
mathprofcarrie,FedericoArdila,mention
mathprofcarrie,JointMath,mention
mathprofcarrie,mayli,mention
mathprofcarrie,duanecoop,mention
mathprofcarrie,priyam886,mention
mathprofcarrie,HaydeeLindo,mention
mathprofcarrie,ErikaTCamacho,mention
mathprofcarrie,mayli,mention
mathprofcarrie,mathyadriana,mention
mathprofcarrie,MitchKeller,mention
mathprofcarrie,sbagley,mention
mathprofcarrie,maryepilgrim,mention
mathprofcarrie,monsoon0,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,mathyadriana,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,RG1gal,mention
mathprofcarrie,susan_dagostino,mention
mathprofcarrie,Morehouse,mention
mathprofcarrie,katebelin,mention
mathprofcarrie,RG1gal,mention
mathprofcarrie,FedericoArdila,mention
mathprofcarrie,HthrLynnJ,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,DingleTeach,mention
mathprofcarrie,sbagley,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,MarissaKawehi,mention
mathprofcarrie,maryepilgrim,mention
mathprofcarrie,VictorPiercey1,mention
mathprofcarrie,sbagley,mention
mathprofcarrie,thewordninja_bk,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,RachelleDeCoste,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,LoboWithACause,mention
mathprofcarrie,RG1gal,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,mathyadriana,mention
mathprofcarrie,thewordninja_bk,mention
mathprofcarrie,pwr2dppl,mention
mathprofcarrie,JointMath,mention
