sender,receiver,edge_type
annakmil,mathprofcarrie,retweet
annakmil,mathprofcarrie,mention
annakmil,jmm2021,mention
annarden,RG1gal,retweet
annarden,RG1gal,mention
AnnClifton9,WanderingPoint,retweet
AnnClifton9,WanderingPoint,mention
ArcheyDawn,mathyadriana,reply
ArcheyDawn,mathprofcarrie,retweet
ArcheyDawn,mathprofcarrie,mention
ArcheyDawn,ArcheyDawn,mention
ArcheyDawn,mathyadriana,mention
ArcheyDawn,diazlopezmath,mention
ArcheyDawn,xl772,mention
ArcheyDawn,pwr2dppl,mention
ArcheyDawn,LoboWithACause,mention
ArcheyDawn,WanderingPoint,mention
ArcheyDawn,RachelleDeCoste,mention
ArcheyDawn,mathyadriana,mention
ArcheyDawn,diazlopezmath,mention
ArcheyDawn,mathprofcarrie,mention
ArcheyDawn,xl772,mention
ArcheyDawn,pwr2dppl,mention
ArcheyDawn,LoboWithACause,mention
ArcheyDawn,WanderingPoint,mention
ArcheyDawn,RachelleDeCoste,mention
arsuaga3,WanderingPoint,retweet
arsuaga3,WanderingPoint,mention
ash_wee_k,WanderingPoint,retweet
ash_wee_k,LoboWithACause,retweet
ash_wee_k,WanderingPoint,mention
ash_wee_k,LoboWithACause,mention
askmrsmartinez,RG1gal,retweet
askmrsmartinez,RG1gal,mention
astrojipjawej,mathprofcarrie,retweet
astrojipjawej,mathprofcarrie,mention
astrojipjawej,jmm2021,mention
Atabey_Kaygun,matthematician,retweet
Atabey_Kaygun,matthematician,mention
Audrey_Mendivil,RG1gal,retweet
Audrey_Mendivil,RG1gal,mention
AuroraBirdialis,sbagley,retweet
AuroraBirdialis,sbagley,retweet
AuroraBirdialis,sbagley,retweet
AuroraBirdialis,sbagley,retweet
AuroraBirdialis,sbagley,mention
AuroraBirdialis,sbagley,mention
AuroraBirdialis,sbagley,mention
AuroraBirdialis,JointMath,mention
AuroraBirdialis,sbagley,mention
awmadvance,blviray,retweet
awmadvance,blviray,mention
awmadvance,pwr2dppl,mention
awmadvance,WanderingPoint,mention
AWMmath,susan_dagostino,retweet
AWMmath,susan_dagostino,mention
AWMmath,Morehouse,mention
BarbaraFantechi,pwr2dppl,retweet
BarbaraFantechi,WanderingPoint,retweet
BarbaraFantechi,monsoon0,retweet
BarbaraFantechi,belladoesmath,retweet
BarbaraFantechi,darrenglass,retweet
BarbaraFantechi,VictorPiercey1,retweet
BarbaraFantechi,WanderingPoint,retweet
BarbaraFantechi,pwr2dppl,mention
BarbaraFantechi,WanderingPoint,mention
BarbaraFantechi,monsoon0,mention
BarbaraFantechi,darrenglass,mention
BarbaraFantechi,VictorPiercey1,mention
BarbaraFantechi,ArisWinger,mention
BarbaraFantechi,maanow,mention
BarbaraFantechi,WanderingPoint,mention
BarbaraJaneGunn,AliciaPL25,retweet
BarbaraJaneGunn,AliciaPL25,mention
BarbaraJaneGunn,FedericoArdila,mention
bat_scholar,WanderingPoint,retweet
bat_scholar,WanderingPoint,mention
bearboyf,mathprofcarrie,retweet
bearboyf,mathprofcarrie,mention
bearboyf,jmm2021,mention
BenisConsumer,BresockCalculus,reply
BenisConsumer,BresockCalculus,mention
benjamindickman,joshuazucker,reply
benjamindickman,blkmathmagic,reply
benjamindickman,sbagley,retweet
benjamindickman,mathyadriana,retweet
benjamindickman,WanderingPoint,retweet
benjamindickman,blviray,retweet
benjamindickman,monsoon0,retweet
benjamindickman,mathprofcarrie,retweet
benjamindickman,mathprofcarrie,retweet
benjamindickman,AliciaPL25,retweet
benjamindickman,LoboWithACause,retweet
benjamindickman,diazlopezmath,retweet
benjamindickman,pwr2dppl,retweet
benjamindickman,amermathsoc,quote-tweet
benjamindickman,GlobalMathDept,quote-tweet
benjamindickman,benjamindickman,quote-tweet
benjamindickman,benjamindickman,quote-tweet
benjamindickman,sbagley,mention
benjamindickman,thewordninja_bk,mention
benjamindickman,JointMath,mention
benjamindickman,mathyadriana,mention
benjamindickman,LoboWithACause,mention
benjamindickman,WanderingPoint,mention
benjamindickman,amermathsoc,mention
benjamindickman,joshuazucker,mention
benjamindickman,blkmathmagic,mention
benjamindickman,todosmath,mention
benjamindickman,blviray,mention
benjamindickman,pwr2dppl,mention
benjamindickman,WanderingPoint,mention
benjamindickman,monsoon0,mention
benjamindickman,achambertloir,mention
benjamindickman,XenaProject,mention
benjamindickman,HigherGeometer,mention
benjamindickman,BarbaraFantechi,mention
benjamindickman,pwr2dppl,mention
benjamindickman,amermathsoc,mention
benjamindickman,lpachter,mention
benjamindickman,samjshah2,mention
benjamindickman,AlexandraBerke,mention
benjamindickman,mathprofcarrie,mention
benjamindickman,jmm2021,mention
benjamindickman,mathprofcarrie,mention
benjamindickman,AliciaPL25,mention
benjamindickman,FedericoArdila,mention
benjamindickman,LoboWithACause,mention
benjamindickman,diazlopezmath,mention
benjamindickman,pwr2dppl,mention
benjamindickman,blkmathmagic,mention
BikeMath,pwr2dppl,reply
BikeMath,pwr2dppl,reply
BikeMath,thewordninja_bk,reply
BikeMath,pwr2dppl,reply
